Rank,name,country,stat
1,Alan Shearer,England,
2,Wayne Rooney,England,
3,Andrew Cole,England,
4,Sergio Agüero,Argentina,
5,Frank Lampard,England,
6,Thierry Henry,France,
7,Harry Kane,England,
8,Robbie Fowler,England,
9,Jermain Defoe,England,
10,Michael Owen,England,
11,Les Ferdinand,England,
12,Teddy Sheringham,England,
13,Robin van Persie,Netherlands,
14,Jimmy Floyd Hasselbaink,Netherlands,
14,Jamie Vardy,England,
16,Robbie Keane,Ireland,
17,Nicolas Anelka,France,
18,Dwight Yorke,Trinidad & Tobago,
19,Steven Gerrard,England,
20,Romelu Lukaku,Belgium,
