timezone,state_code,value,iso_a2,state_hasc,key
America/Lima,PE-LAM,Olmos,PE,PE.LB,OLMOS|PE-LAM
Africa/Lubumbashi,CD-MA,Kampene,CD,CD.MN,KAMPENE|CD-MA
Asia/Almaty,KZ-ZHA,Qulan,KZ,KZ.ZM,QULAN|KZ-ZHA
Africa/Lubumbashi,CD-KA,Kaniama,CD,CD.KT,KANIAMA|CD-KA
Asia/Jayapura,ID-PA,Nabire,ID,ID.PA,NABIRE|ID-PA
Asia/Makassar,ID-SR,Majene,ID,ID.SR,MAJENE|ID-SR
America/Bahia,BR-BA,Alagoinhas,BR,BR.BA,ALAGOINHAS|BR-BA
America/Bahia,BR-BA,Vitória da Conquista,BR,BR.BA,VITORIA DA CONQUISTA|BR-BA
America/Lima,PE-ICA,Santiago,PE,PE.IC,SANTIAGO|PE-ICA
Asia/Qyzylorda,KZ-AKM,Zholymbet,KZ,KZ.AM,ZHOLYMBET|KZ-AKM
Asia/Ashgabat,TM-B,Gyzlarbat,TM,TM.BA,GYZLARBAT|TM-B
America/Guayaquil,EC-M,Jipijapa,EC,EC.MN,JIPIJAPA|EC-M
Asia/Chongqing,CN-50,Wanzhou,CN,CN.CQ,WANZHOU|CN-50
Asia/Chongqing,CN-42,Puqi,CN,CN.HU,PUQI|CN-42
Asia/Shanghai,CN-37,Shanxian,CN,CN.SD,SHANXIAN|CN-37
Asia/Shanghai,CN-37,Pingyi,CN,CN.SD,PINGYI|CN-37
Asia/Harbin,CN-15,Jining,CN,CN.NM,JINING|CN-15
Asia/Harbin,CN-23,Longjiang,CN,CN.HL,LONGJIANG|CN-23
Asia/Harbin,CN-22,Fuyu,CN,CN.JL,FUYU|CN-22
Asia/Chongqing,CN-14,Yuci,CN,CN.SX,YUCI|CN-14
Asia/Krasnoyarsk,RU-KK,Shira,RU,RU.KK,SHIRA|RU-KK
Asia/Yakutsk,RU-ZAB,Olovyannaya,RU,RU.CT,OLOVYANNAYA|RU-ZAB
Asia/Almaty,KZ-KAR,Aqadyr,KZ,KZ.QG,AQADYR|KZ-KAR
America/Cuiaba,BR-MT,Aripuana,BR,BR.MT,ARIPUANA|BR-MT
Asia/Jakarta,ID-JT,Pati,ID,ID.JT,PATI|ID-JT
Asia/Pyongyang,KP-02,Sin-Ni,KP,KP.PN,SIN-NI|KP-02
Asia/Pyongyang,KP-07,Anbyon,KP,KP.KW,ANBYON|KP-07
Asia/Jakarta,ID-LA,Kotabumi,ID,ID.LA,KOTABUMI|ID-LA
Asia/Pyongyang,KP-05,Ongjin,KP,KP.WN,ONGJIN|KP-05
Asia/Pyongyang,KP-05,Changyon,KP,KP.WN,CHANGYON|KP-05
Africa/Dar_es_Salaam,TZ-24,Nzega,TZ,TZ.TB,NZEGA|TZ-24
Asia/Pontianak,ID-KT,Kualakapuas,ID,ID.KT,KUALAKAPUAS|ID-KT
Africa/Dar_es_Salaam,TZ-08,Kakonko,TZ,TZ.KM,KAKONKO|TZ-08
Africa/Dar_es_Salaam,TZ-19,Kibiti,TZ,TZ.PW,KIBITI|TZ-19
Asia/Qyzylorda,KZ-KUS,Turgay,KZ,KZ.QS,TURGAY|KZ-KUS
Asia/Aqtobe,KZ-KUS,Qusmuryn,KZ,KZ.QS,QUSMURYN|KZ-KUS
Asia/Aqtobe,KZ-KUS,Tobol,KZ,KZ.QS,TOBOL|KZ-KUS
Asia/Aqtobe,KZ-KUS,Komsomolets,KZ,KZ.QS,KOMSOMOLETS|KZ-KUS
Asia/Krasnoyarsk,RU-KEM,Mundybash,RU,RU.KE,MUNDYBASH|RU-KEM
Asia/Krasnoyarsk,RU-TOM,Timiryazevskiy,RU,RU.TO,TIMIRYAZEVSKIY|RU-TOM
Europe/Amsterdam,NL-NB,'s Gravenmoer,NL,NL.NB,'S GRAVENMOER|NL-NB
Europe/Amsterdam,NL-ZH,'s-Gravenzande,NL,NL.ZH,'S-GRAVENZANDE|NL-ZH
Europe/Amsterdam,NL-GE,'s-Heerenberg,NL,NL.GE,'S-HEERENBERG|NL-GE
Europe/Amsterdam,NL-NB,'s-Hertogenbosch,NL,NL.NB,'S-HERTOGENBOSCH|NL-NB
Europe/Amsterdam,NL-NH,'t Zand,NL,NL.NH,'T ZAND|NL-NH
America/Mexico_City,MX-GRO,10 De Abril,MX,MX.GR,10 DE ABRIL|MX-GRO
America/Vancouver,CA-BC,100 Mile House,CA,CA.BC,100 MILE HOUSE|CA-BC
America/Mexico_City,MX-PUE,18 De Marzo,MX,MX.PU,18 DE MARZO|MX-PUE
America/Mexico_City,MX-CHP,1ra. Sección De Izapa,MX,MX.CP,1RA. SECCION DE IZAPA|MX-CHP
America/Montevideo,UY-FD,25 De Agosto,UY,UY.FD,25 DE AGOSTO|UY-FD
America/Montevideo,UY-FD,25 De Mayo,UY,UY.FD,25 DE MAYO|UY-FD
America/Argentina/Rio_Gallegos,AR-Z,28 De Noviembre,AR,AR.SC,28 DE NOVIEMBRE|AR-Z
America/Mexico_City,MX-CHP,2da. Sección De Medio Monte,MX,MX.CP,2DA. SECCION DE MEDIO MONTE|MX-CHP
America/Hermosillo,MX-SON,31 De Octubre,MX,MX.SO,31 DE OCTUBRE|MX-SON
Europe/Madrid,ES-C,A Baña,ES,ES.GA,A BANA|ES-C
Europe/Madrid,ES-C,A Coruña,ES,ES.GA,LA CORUNA|ES-C
Europe/Lisbon,PT-11,A Dos Cunhados,PT,PT.LI,A DOS CUNHADOS|PT-11
Europe/Lisbon,PT-10,A Dos Francos,PT,PT.LE,A DOS FRANCOS|PT-10
Europe/Madrid,ES-PO,A Estrada,ES,ES.GA,A ESTRADA|ES-PO
Europe/Madrid,ES-LU,A Pobra Do Brollon,ES,ES.GA,A POBRA DO BROLLON|ES-LU
Europe/Madrid,ES-C,A Pobra Do Caramiñal,ES,ES.GA,A POBRA DO CARAMINAL|ES-C
Europe/Madrid,ES-OR,A Rúa,ES,ES.GA,A RUA|ES-OR
Europe/Berlin,DE-BW,Aach,DE,DE.BW,AACH|DE-BW
Europe/Zurich,CH-TG,Aadorf,CH,CH.TG,AADORF|CH-TG
Europe/Amsterdam,NL-ZE,Aagtekerke,NL,NL.ZE,AAGTEKERKE|NL-ZE
Europe/Copenhagen,DK-81,Aalborg,DK,DK.ND,AALBORG|DK-81
Europe/Amsterdam,NL-NB,Aalburg,NL,NL.NB,AALBURG|NL-NB
Europe/Amsterdam,NL-DR,Aalden,NL,NL.DR,AALDEN|NL-DR
Europe/Amsterdam,NL-NH,Aalsmeer,NL,NL.NH,AALSMEER|NL-NH
Europe/Brussels,BE-VOV,Aalst,BE,BE.OV,AALST|BE-VOV
Europe/Amsterdam,NL-GE,Aalst,NL,NL.GE,AALST|NL-GE
Europe/Amsterdam,NL-GE,Aalten,NL,NL.GE,AALTEN|NL-GE
Europe/Brussels,BE-VOV,Aalter,BE,BE.OV,AALTER|BE-VOV
Asia/Manila,PH-ALB,Aanislag,PH,PH.AL,AANISLAG|PH-ALB
Asia/Beirut,LB-BI,Aanjar,LB,LB.BQ,AANJAR|LB-BI
Europe/Zurich,CH-AG,Aarau,CH,CH.AG,AARAU|CH-AG
Europe/Zurich,CH-BE,Aarberg,CH,CH.BE,AARBERG|CH-BE
Europe/Zurich,CH-AG,Aarburg,CH,CH.AG,AARBURG|CH-AG
Europe/Amsterdam,NL-ZE,Aardenburg,NL,NL.ZE,AARDENBURG|NL-ZE
Europe/Copenhagen,DK-82,Aarhus,DK,DK.MJ,AARHUS|DK-82
Europe/Amsterdam,NL-NB,Aarle-Rixtel,NL,NL.NB,AARLE-RIXTEL|NL-NB
Europe/Brussels,BE-VBR,Aarschot,BE,BE.VB,AARSCHOT|BE-VBR
Europe/Brussels,BE-VAN,Aartselaar,BE,BE.AN,AARTSELAAR|BE-VAN
Europe/Zurich,CH-BE,Aarwangen,CH,CH.BE,AARWANGEN|CH-BE
Europe/Budapest,HU-FE,Aba,HU,HU.FE,ABA|HU-FE
Asia/Manila,PH-ILI,Abaca,PH,PH.II,ABACA|PH-ILI
Asia/Manila,PH-BOH,Abaca,PH,PH.BO,ABACA|PH-BOH
Asia/Tehran,IR-10,Abadan,IR,IR.KZ,ABADAN|IR-10
Asia/Ashgabat,TM-A,Abadan Etrap,TM,TM.AL,BUZMEYIN|TM-A
America/Sao_Paulo,BR-GO,Abadiânia,BR,BR.GO,ABADIANIA|BR-GO
Europe/Moscow,RU-AD,Abadzekhskaya,RU,RU.AD,ABADZEKHSKAYA|RU-AD
America/Santarem,BR-PA,Abaetetuba,BR,BR.PA,ABAETETUBA|BR-PA
America/Sao_Paulo,BR-MG,Abaeté,BR,BR.MG,ABAETE|BR-MG
Asia/Novokuznetsk,RU-KEM,Abagur,RU,RU.KE,ABAGUR|RU-KEM
Africa/Lagos,NG-EB,Abakaliki,NG,NG.EB,ABAKALIKI|NG-EB
Asia/Krasnoyarsk,RU-KYA,Abakan,RU,RU.KX,ABAKAN|RU-KYA
America/Merida,MX-YUC,Abala,MX,MX.YU,ABALA|MX-YUC
Asia/Yekaterinburg,RU-TYU,Abalak,RU,RU.TY,ABALAK|RU-TYU
Asia/Krasnoyarsk,RU-KYA,Aban,RU,RU.KX,ABAN|RU-KYA
America/Lima,PE-APU,Abancay,PE,PE.AP,ABANCAY|PE-APU
Asia/Manila,PH-ILI,Abangay,PH,PH.II,ABANGAY|PH-ILI
