Currancy,Date,Rate
CAD,"December 31, 1990",0.857188
CAD,"December 31, 1991",0.872637
CAD,"December 31, 1992",0.828136
CAD,"December 31, 1993",0.775451
CAD,"December 31, 1994",0.732021
CAD,"December 31, 1995",0.728802
CAD,"December 31, 1996",0.733274
CAD,"December 31, 1997",0.722222
CAD,"December 31, 1998",0.674779
CAD,"December 31, 1999",0.673156
CAD,"December 31, 2000",0.673519
CAD,"December 31, 2001",0.646223
CAD,"December 31, 2002",0.636723
CAD,"December 31, 2003",0.718459
CAD,"December 31, 2004",0.770234
CAD,"December 31, 2005",0.826569
CAD,"December 31, 2006",0.881772
CAD,"December 31, 2007",0.935147
CAD,"December 31, 2008",0.944173
CAD,"December 31, 2009",0.880059
CAD,"December 31, 2010",0.970701
CAD,"December 31, 2011",1.011464
CAD,"December 31, 2012",1.00023
CAD,"December 31, 2013",0.971164
CAD,"December 31, 2014",0.905912
CAD,"December 31, 2015",0.782992
CAD,"December 31, 2016",0.755107
CAD,"December 31, 2017",0.771282
CAD,"December 31, 2018",0.771588
CAD,"December 31, 2019",0.753598
CAD,"December 31, 2020",0.74652
CAD,"December 31, 2021",0.797833
CAD,"June 6, 2022",0.787812
AED,"December 31, 1990",0.857188
AED,"December 31, 1991",0.872637
AED,"December 31, 1992",0.828136
AED,"December 31, 1993",0.775451
AED,"December 31, 1994",0.732021
AED,"December 31, 1995",0.728802
AED,"December 31, 1996",0.733274
AED,"December 31, 1997",0.722222
AED,"December 31, 1998",0.674779
AED,"December 31, 1999",0.673156
AED,"December 31, 2000",0.673519
AED,"December 31, 2001",0.646223
AED,"December 31, 2002",0.636723
AED,"December 31, 2003",0.718459
AED,"December 31, 2004",0.770234
AED,"December 31, 2005",0.826569
AED,"December 31, 2006",0.881772
AED,"December 31, 2007",0.935147
AED,"December 31, 2008",0.944173
AED,"December 31, 2009",0.880059
AED,"December 31, 2010",0.970701
AED,"December 31, 2011",1.011464
AED,"December 31, 2012",1.00023
AED,"December 31, 2013",0.971164
AED,"December 31, 2014",0.905912
AED,"December 31, 2015",0.782992
AED,"December 31, 2016",0.755107
AED,"December 31, 2017",0.771282
AED,"December 31, 2018",0.771588
AED,"December 31, 2019",0.753598
AED,"December 31, 2020",0.74652
AED,"December 31, 2021",0.797833
AED,"June 6, 2022",0.787812
AUD,"December 31, 1990",0.857188
AUD,"December 31, 1991",0.872637
AUD,"December 31, 1992",0.828136
AUD,"December 31, 1993",0.775451
AUD,"December 31, 1994",0.732021
AUD,"December 31, 1995",0.728802
AUD,"December 31, 1996",0.733274
AUD,"December 31, 1997",0.722222
AUD,"December 31, 1998",0.674779
AUD,"December 31, 1999",0.673156
AUD,"December 31, 2000",0.673519
AUD,"December 31, 2001",0.646223
AUD,"December 31, 2002",0.636723
AUD,"December 31, 2003",0.718459
AUD,"December 31, 2004",0.770234
AUD,"December 31, 2005",0.826569
AUD,"December 31, 2006",0.881772
AUD,"December 31, 2007",0.935147
AUD,"December 31, 2008",0.944173
AUD,"December 31, 2009",0.880059
AUD,"December 31, 2010",0.970701
AUD,"December 31, 2011",1.011464
AUD,"December 31, 2012",1.00023
AUD,"December 31, 2013",0.971164
AUD,"December 31, 2014",0.905912
AUD,"December 31, 2015",0.782992
AUD,"December 31, 2016",0.755107
AUD,"December 31, 2017",0.771282
AUD,"December 31, 2018",0.771588
AUD,"December 31, 2019",0.753598
AUD,"December 31, 2020",0.74652
AUD,"December 31, 2021",0.797833
AUD,"June 6, 2022",0.787812
AZN,"December 31, 1990",0.857188
AZN,"December 31, 1991",0.872637
AZN,"December 31, 1992",0.828136
AZN,"December 31, 1993",0.775451
AZN,"December 31, 1994",0.732021
AZN,"December 31, 1995",0.728802
AZN,"December 31, 1996",0.733274
AZN,"December 31, 1997",0.722222
AZN,"December 31, 1998",0.674779
AZN,"December 31, 1999",0.673156
AZN,"December 31, 2000",0.673519
AZN,"December 31, 2001",0.646223
AZN,"December 31, 2002",0.636723
AZN,"December 31, 2003",0.718459
AZN,"December 31, 2004",0.770234
AZN,"December 31, 2005",0.826569
AZN,"December 31, 2006",0.881772
AZN,"December 31, 2007",0.935147
AZN,"December 31, 2008",0.944173
AZN,"December 31, 2009",0.880059
AZN,"December 31, 2010",0.970701
AZN,"December 31, 2011",1.011464
AZN,"December 31, 2012",1.00023
AZN,"December 31, 2013",0.971164
AZN,"December 31, 2014",0.905912
AZN,"December 31, 2015",0.782992
AZN,"December 31, 2016",0.755107
AZN,"December 31, 2017",0.771282
AZN,"December 31, 2018",0.771588
AZN,"December 31, 2019",0.753598
AZN,"December 31, 2020",0.74652
AZN,"December 31, 2021",0.797833
AZN,"June 6, 2022",0.787812
BGN,"December 31, 1990",0.857188
BGN,"December 31, 1991",0.872637
BGN,"December 31, 1992",0.828136
BGN,"December 31, 1993",0.775451
BGN,"December 31, 1994",0.732021
BGN,"December 31, 1995",0.728802
BGN,"December 31, 1996",0.733274
BGN,"December 31, 1997",0.722222
BGN,"December 31, 1998",0.674779
BGN,"December 31, 1999",0.673156
BGN,"December 31, 2000",0.673519
BGN,"December 31, 2001",0.646223
BGN,"December 31, 2002",0.636723
BGN,"December 31, 2003",0.718459
BGN,"December 31, 2004",0.770234
BGN,"December 31, 2005",0.826569
BGN,"December 31, 2006",0.881772
BGN,"December 31, 2007",0.935147
BGN,"December 31, 2008",0.944173
BGN,"December 31, 2009",0.880059
BGN,"December 31, 2010",0.970701
BGN,"December 31, 2011",1.011464
BGN,"December 31, 2012",1.00023
BGN,"December 31, 2013",0.971164
BGN,"December 31, 2014",0.905912
BGN,"December 31, 2015",0.782992
BGN,"December 31, 2016",0.755107
BGN,"December 31, 2017",0.771282
BGN,"December 31, 2018",0.771588
BGN,"December 31, 2019",0.753598
BGN,"December 31, 2020",0.74652
BGN,"December 31, 2021",0.797833
BGN,"June 6, 2022",0.787812
BHD,"December 31, 1990",0.857188
BHD,"December 31, 1991",0.872637
BHD,"December 31, 1992",0.828136
BHD,"December 31, 1993",0.775451
BHD,"December 31, 1994",0.732021
BHD,"December 31, 1995",0.728802
BHD,"December 31, 1996",0.733274
BHD,"December 31, 1997",0.722222
BHD,"December 31, 1998",0.674779
BHD,"December 31, 1999",0.673156
BHD,"December 31, 2000",0.673519
BHD,"December 31, 2001",0.646223
BHD,"December 31, 2002",0.636723
BHD,"December 31, 2003",0.718459
BHD,"December 31, 2004",0.770234
BHD,"December 31, 2005",0.826569
BHD,"December 31, 2006",0.881772
BHD,"December 31, 2007",0.935147
BHD,"December 31, 2008",0.944173
BHD,"December 31, 2009",0.880059
BHD,"December 31, 2010",0.970701
BHD,"December 31, 2011",1.011464
BHD,"December 31, 2012",1.00023
BHD,"December 31, 2013",0.971164
BHD,"December 31, 2014",0.905912
BHD,"December 31, 2015",0.782992
BHD,"December 31, 2016",0.755107
BHD,"December 31, 2017",0.771282
BHD,"December 31, 2018",0.771588
BHD,"December 31, 2019",0.753598
BHD,"December 31, 2020",0.74652
BHD,"December 31, 2021",0.797833
BHD,"June 6, 2022",0.787812
BND,"December 31, 1990",0.857188
BND,"December 31, 1991",0.872637
BND,"December 31, 1992",0.828136
BND,"December 31, 1993",0.775451
BND,"December 31, 1994",0.732021
BND,"December 31, 1995",0.728802
BND,"December 31, 1996",0.733274
BND,"December 31, 1997",0.722222
BND,"December 31, 1998",0.674779
BND,"December 31, 1999",0.673156
BND,"December 31, 2000",0.673519
BND,"December 31, 2001",0.646223
BND,"December 31, 2002",0.636723
BND,"December 31, 2003",0.718459
BND,"December 31, 2004",0.770234
BND,"December 31, 2005",0.826569
BND,"December 31, 2006",0.881772
BND,"December 31, 2007",0.935147
BND,"December 31, 2008",0.944173
BND,"December 31, 2009",0.880059
BND,"December 31, 2010",0.970701
BND,"December 31, 2011",1.011464
BND,"December 31, 2012",1.00023
BND,"December 31, 2013",0.971164
BND,"December 31, 2014",0.905912
BND,"December 31, 2015",0.782992
BND,"December 31, 2016",0.755107
BND,"December 31, 2017",0.771282
BND,"December 31, 2018",0.771588
BND,"December 31, 2019",0.753598
BND,"December 31, 2020",0.74652
BND,"December 31, 2021",0.797833
BND,"June 6, 2022",0.787812
BRL,"December 31, 1990",0.857188
BRL,"December 31, 1991",0.872637
BRL,"December 31, 1992",0.828136
BRL,"December 31, 1993",0.775451
BRL,"December 31, 1994",0.732021
BRL,"December 31, 1995",0.728802
BRL,"December 31, 1996",0.733274
BRL,"December 31, 1997",0.722222
BRL,"December 31, 1998",0.674779
BRL,"December 31, 1999",0.673156
BRL,"December 31, 2000",0.673519
BRL,"December 31, 2001",0.646223
BRL,"December 31, 2002",0.636723
BRL,"December 31, 2003",0.718459
BRL,"December 31, 2004",0.770234
BRL,"December 31, 2005",0.826569
BRL,"December 31, 2006",0.881772
BRL,"December 31, 2007",0.935147
BRL,"December 31, 2008",0.944173
BRL,"December 31, 2009",0.880059
BRL,"December 31, 2010",0.970701
BRL,"December 31, 2011",1.011464
